loss,configuration
24426.51171875,"[([0.8333333333333333, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24428.80078125,"[([0.8333333333333333, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32)]"
24429.6875,"[([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333], 32)]"
24430.723307291668,"[([0.5, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32)]"
24431.34765625,"[([0.8333333333333333, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
24436.479166666668,"[([0.5, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32)]"
24436.848307291668,"[([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
24437.292317708332,"[([0.5, 0.8333333333333333, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.16666666666666666, 0.5], 32)]"
24439.340494791668,"[([0.5, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32)]"
24440.10546875,"[([0.16666666666666666, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
24441.257161458332,"[([0.5, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.5, 0.8333333333333333, 0.5, 0.5], 32)]"
24442.5986328125,"[([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24444.8681640625,"[([0.9074074074074074, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9074074074074074, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9074074074074074, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24445.51953125,"[([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32)]"
24446.4384765625,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
24447.6943359375,"[([0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32)]"
24449.074869791668,"[([0.5, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
24449.3251953125,"[([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.16666666666666666], 32)]"
24449.953776041668,"[([0.8333333333333333, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.5, 0.5, 0.5], 32)]"
24451.5478515625,"[([0.9444444444444444, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32)]"
24452.7333984375,"[([0.7222222222222222, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.7222222222222222, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.7222222222222222, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32)]"
