loss,configuration
24568.8125,"[([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666], 32)]"
24581.603515625,"[([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32)]"
24585.880859375,"[([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32)]"
inf,"[([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
inf,"[([0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
inf,"[([0.16666666666666666, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32)]"
inf,"[([0.8333333333333333, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32)]"
inf,"[([0.5, 0.8333333333333333, 0.5, 0.8333333333333333, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.8333333333333333, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.8333333333333333, 0.5], 32)]"
inf,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.4629629629629629], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.4629629629629629], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.4629629629629629], 32)]"
inf,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.537037037037037], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.537037037037037], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.537037037037037], 32)]"
inf,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
inf,"[([0.8333333333333333, 0.5, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
