exp. number,configurations,loss,Sihlouette,intermediate errors,intermediate errors percentage,final errors,final errors percentage,training addded,training cancelled,accurate continuations (refers only to conscious continuations)
168,"(168, [0.167, 0.5, 0.833, 0.5, 0.833], 32)",24367.390625,0.6294374279639555,[0.02716329],[7.27065412],nan,nan,True,False,nan
169,"(169, [0.167, 0.5, 0.833, 0.5, 0.833], 32)",inf,inf,[0.0039415],[1.23810737],nan,nan,False,True,nan
170,"(170, [0.167, 0.5, 0.833, 0.5, 0.833], 32)",inf,inf,[0.00370554],[1.21216992],nan,nan,False,True,nan
171,"(171, [0.167, 0.833, 0.167, 0.167, 0.5], 32)",inf,inf,[0.01659081],[4.38421446],nan,nan,False,True,nan
172,"(172, [0.167, 0.833, 0.167, 0.167, 0.5], 32)",24531.203125,0.5807722392216603,[0.01278245],[4.06973834],[0.06749439],[11.62148964],True,False,False
173,"(173, [0.167, 0.833, 0.167, 0.167, 0.5], 32)",24471.7578125,0.6451527918115512,[0.02085236],[5.5373612],nan,nan,True,False,nan
174,"(174, [0.167, 0.833, 0.167, 0.833, 0.5], 32)",inf,inf,[0.00345942],[1.0119394],nan,nan,False,True,nan
175,"(175, [0.167, 0.833, 0.167, 0.833, 0.5], 32)",24500.044921875,0.5599579186395301,[0.00466375],[1.36887015],[0.0522241],[9.32643335],True,False,False
176,"(176, [0.167, 0.833, 0.167, 0.833, 0.5], 32)",24530.15625,0.6459903051355029,[0.00557283],[1.81514365],[0.03563937],[5.51701388],True,False,True
177,"(177, [0.944, 0.722, 0.167, 0.167, 0.5], 32)",inf,inf,[0.00869118],[2.5588725],nan,nan,False,True,nan
178,"(178, [0.944, 0.722, 0.167, 0.167, 0.5], 32)",inf,inf,[0.01006105],[3.28365609],nan,nan,False,True,nan
179,"(179, [0.944, 0.722, 0.167, 0.167, 0.5], 32)",24459.111328125,0.6134506834695341,[0.04364921],[13.92220625],nan,nan,True,False,nan
180,"(180, [0.944, 0.944, 0.167, 0.167, 0.5], 32)",24548.166015625,0.6368804306266269,[0.02406585],[7.13977989],nan,nan,True,False,nan
181,"(181, [0.944, 0.944, 0.167, 0.167, 0.5], 32)",inf,inf,[0.00162548],[0.5236793],nan,nan,False,True,nan
182,"(182, [0.944, 0.944, 0.167, 0.167, 0.5], 32)",inf,inf,[0.00675694],[2.033519],nan,nan,False,True,nan
183,"(183, [0.5, 0.5, 0.5, 0.167, 0.5], 32)",inf,inf,[0.00271635],[0.88045985],nan,nan,False,True,nan
184,"(184, [0.5, 0.5, 0.5, 0.167, 0.5], 32)",24515.939453125,0.5890715852849084,[0.00016653],[0.04826599],[0.04785035],[8.12301056],True,False,False
185,"(185, [0.5, 0.5, 0.5, 0.167, 0.5], 32)",inf,inf,[0.00230414],[0.81393698],nan,nan,False,True,nan
186,"(186, [0.5, 0.5, 0.5, 0.833, 0.5], 32)",24391.8828125,0.5747739247486374,[0.03219048],[8.42262405],nan,nan,True,False,nan
187,"(187, [0.5, 0.5, 0.5, 0.833, 0.5], 32)",inf,inf,[0.01234402],[3.45925538],nan,nan,False,True,nan
188,"(188, [0.5, 0.5, 0.5, 0.833, 0.5], 32)",inf,inf,[0.00617786],[1.59473336],nan,nan,False,True,nan
189,"(189, [0.833, 0.833, 0.167, 0.5, 0.167], 32)",24455.76171875,0.6034033391780013,[0.02511545],[7.49835838],nan,nan,True,False,nan
190,"(190, [0.833, 0.833, 0.167, 0.5, 0.167], 32)",24506.51953125,0.617010804435029,[0.00327539],[1.04895917],[0.08582654],[13.910054],True,False,True
191,"(191, [0.833, 0.833, 0.167, 0.5, 0.167], 32)",24474.537109375,0.6237231567658582,[0.02735713],[6.55574707],nan,nan,True,False,nan
192,"(192, [0.833, 0.833, 0.167, 0.5, 0.833], 32)",24393.0,0.6332960953430641,[0.00245919],[0.63868537],[0.01930011],[3.04756426],True,False,True
193,"(193, [0.833, 0.833, 0.167, 0.5, 0.833], 32)",24410.8828125,0.6689257708891776,[0.04518061],[11.10094311],nan,nan,True,False,nan
194,"(194, [0.833, 0.833, 0.167, 0.5, 0.833], 32)",inf,inf,[0.00331117],[1.08622905],nan,nan,False,True,nan
195,"(195, [0.833, 0.5, 0.167, 0.167, 0.5], 32)",inf,inf,[0.00471231],[1.51609737],nan,nan,False,True,nan
196,"(196, [0.833, 0.5, 0.167, 0.167, 0.5], 32)",24426.51171875,0.529926238346923,[0.02315515],[8.03556299],nan,nan,True,False,nan
197,"(197, [0.833, 0.5, 0.167, 0.167, 0.5], 32)",inf,inf,[0.00110591],[0.3549916],nan,nan,False,True,nan
198,"(198, [0.833, 0.5, 0.167, 0.833, 0.5], 32)",inf,inf,[0.00332285],[0.87342138],nan,nan,False,True,nan
199,"(199, [0.833, 0.5, 0.167, 0.833, 0.5], 32)",inf,inf,[0.00138445],[0.40644705],nan,nan,False,True,nan
200,"(200, [0.833, 0.5, 0.167, 0.833, 0.5], 32)",24431.34765625,0.5495076889678691,[0.01709781],[6.3286423],nan,nan,True,False,nan
201,"(201, [0.944, 0.833, 0.056, 0.167, 0.5], 32)",24428.583984375,0.6101437301307002,[0.0091893],[2.59737691],[0.00320596],[0.5254433],True,False,True
202,"(202, [0.944, 0.833, 0.056, 0.167, 0.5], 32)",24474.51171875,0.6458286469414356,[0.01609886],[4.58559677],[0.00663113],[1.02676268],True,False,True
203,"(203, [0.944, 0.833, 0.056, 0.167, 0.5], 32)",inf,inf,[0.01901315],[4.83851047],nan,nan,False,True,nan
204,"(204, [0.944, 0.833, 0.278, 0.167, 0.5], 32)",inf,inf,[0.00507054],[1.52041582],nan,nan,False,True,nan
205,"(205, [0.944, 0.833, 0.278, 0.167, 0.5], 32)",inf,inf,[0.01307383],[4.76968137],nan,nan,False,True,nan
206,"(206, [0.944, 0.833, 0.278, 0.167, 0.5], 32)",24499.630859375,0.6579915585761006,[0.02278883],[6.65352904],nan,nan,True,False,nan
207,"(207, [0.5, 0.167, 0.167, 0.167, 0.5], 32)",24542.421875,0.6602332114979018,[0.00816467],[2.45764202],[0.0039265],[0.5947136],True,False,True
208,"(208, [0.5, 0.167, 0.167, 0.167, 0.5], 32)",inf,inf,[0.01429559],[4.97034916],nan,nan,False,True,nan
209,"(209, [0.5, 0.167, 0.167, 0.167, 0.5], 32)",24490.51171875,0.6457666277747183,[0.02756404],[10.76380316],nan,nan,True,False,nan
210,"(210, [0.5, 0.167, 0.167, 0.833, 0.5], 32)",24379.5703125,0.5780386824034465,[0.00125018],[0.38938822],[0.10399356],[17.99076134],True,False,False
211,"(211, [0.5, 0.167, 0.167, 0.833, 0.5], 32)",24377.369140625,0.5975992874232186,[0.02049585],[6.11799188],nan,nan,True,False,nan
212,"(212, [0.5, 0.167, 0.167, 0.833, 0.5], 32)",inf,inf,[0.00307204],[0.80009656],nan,nan,False,True,nan
213,"(213, [0.833, 0.5, 0.833, 0.167, 0.5], 32)",24456.923828125,0.6338520709370565,[0.04133254],[13.78570903],nan,nan,True,False,nan
214,"(214, [0.833, 0.5, 0.833, 0.167, 0.5], 32)",inf,inf,[0.01085565],[3.10776153],nan,nan,False,True,nan
215,"(215, [0.833, 0.5, 0.833, 0.167, 0.5], 32)",inf,inf,[0.00681559],[2.10143205],nan,nan,False,True,nan
216,"(216, [0.833, 0.5, 0.833, 0.833, 0.5], 32)",inf,inf,[0.00982941],[2.93104491],nan,nan,False,True,nan
217,"(217, [0.833, 0.5, 0.833, 0.833, 0.5], 32)",inf,inf,[0.00099545],[0.29900657],nan,nan,False,True,nan
218,"(218, [0.833, 0.5, 0.833, 0.833, 0.5], 32)",inf,inf,[0.01173658],[3.87747165],nan,nan,False,True,nan
219,"(219, [0.833, 0.722, 0.167, 0.167, 0.5], 32)",inf,inf,[0.01307316],[3.98454235],nan,nan,False,True,nan
220,"(220, [0.833, 0.722, 0.167, 0.167, 0.5], 32)",24508.67578125,0.6236388074996021,[0.01011398],[3.19973247],[0.02937392],[4.71008579],True,False,True
221,"(221, [0.833, 0.722, 0.167, 0.167, 0.5], 32)",inf,inf,[0.00207697],[0.68625086],nan,nan,False,True,nan
222,"(222, [0.833, 0.944, 0.167, 0.167, 0.5], 32)",24426.5,0.6484646159575626,[0.00395978],[1.11114145],[0.02541814],[3.91974131],True,False,True
223,"(223, [0.833, 0.944, 0.167, 0.167, 0.5], 32)",24395.3984375,0.5505074180557723,[0.01503577],[4.56964231],[0.09916429],[18.01325225],True,False,False
224,"(224, [0.833, 0.944, 0.167, 0.167, 0.5], 32)",inf,inf,[0.00383678],[1.03584817],nan,nan,False,True,nan
225,"(225, [0.944, 0.833, 0.167, 0.056, 0.5], 32)",24565.19921875,0.5685089038452065,[0.00207933],[0.70460109],[0.04725291],[8.31172665],True,False,False
226,"(226, [0.944, 0.833, 0.167, 0.056, 0.5], 32)",inf,inf,[0.00415605],[1.2243682],nan,nan,False,True,nan
227,"(227, [0.944, 0.833, 0.167, 0.056, 0.5], 32)",24560.0234375,0.6038209085110052,[0.02092605],[6.62960553],nan,nan,True,False,nan
228,"(228, [0.944, 0.833, 0.167, 0.278, 0.5], 32)",inf,inf,[0.01108827],[3.40459557],nan,nan,False,True,nan
229,"(229, [0.944, 0.833, 0.167, 0.278, 0.5], 32)",inf,inf,[0.01062925],[3.01729773],nan,nan,False,True,nan
230,"(230, [0.944, 0.833, 0.167, 0.278, 0.5], 32)",24535.24609375,0.5892096036415688,[0.04986944],[19.62288075],nan,nan,True,False,nan
231,"(231, [0.167, 0.5, 0.833, 0.833, 0.167], 32)",inf,inf,[0.01214544],[3.89958935],nan,nan,False,True,nan
232,"(232, [0.167, 0.5, 0.833, 0.833, 0.167], 32)",24466.517578125,0.5667345753810273,[0.03124492],[10.23849554],nan,nan,True,False,nan
233,"(233, [0.167, 0.5, 0.833, 0.833, 0.167], 32)",24527.888671875,0.6746115876310709,[0.00254899],[0.75224274],[0.02667786],[3.9545516],True,False,True
234,"(234, [0.167, 0.5, 0.833, 0.833, 0.833], 32)",inf,inf,[0.00013008],[0.03953047],nan,nan,False,True,nan
235,"(235, [0.167, 0.5, 0.833, 0.833, 0.833], 32)",24406.77734375,0.625843490398552,[0.0062306],[1.62407904],[0.03055867],[4.88279785],True,False,True
236,"(236, [0.167, 0.5, 0.833, 0.833, 0.833], 32)",inf,inf,[0.00115324],[0.34105366],nan,nan,False,True,nan
237,"(237, [0.5, 0.833, 0.5, 0.167, 0.5], 32)",24465.3671875,0.5775119996384406,[0.03248512],[9.76406864],nan,nan,True,False,nan
238,"(238, [0.5, 0.833, 0.5, 0.167, 0.5], 32)",24395.71484375,0.5696604228753231,[0.01985399],[6.72250505],nan,nan,True,False,nan
239,"(239, [0.5, 0.833, 0.5, 0.167, 0.5], 32)",24450.794921875,0.5507938410299272,[0.00579339],[1.76345583],[0.07704446],[13.98789412],True,False,False
240,"(240, [0.5, 0.833, 0.5, 0.833, 0.5], 32)",inf,inf,[0.00490524],[1.24637239],nan,nan,False,True,nan
241,"(241, [0.5, 0.833, 0.5, 0.833, 0.5], 32)",inf,inf,[0.01590526],[4.10675294],nan,nan,False,True,nan
242,"(242, [0.5, 0.833, 0.5, 0.833, 0.5], 32)",inf,inf,[0.00620672],[1.63322755],nan,nan,False,True,nan
243,"(243, [0.167, 0.167, 0.833, 0.167, 0.5], 32)",inf,inf,[0.01372564],[4.23401363],nan,nan,False,True,nan
244,"(244, [0.167, 0.167, 0.833, 0.167, 0.5], 32)",inf,inf,[0.00631345],[1.82039322],nan,nan,False,True,nan
245,"(245, [0.167, 0.167, 0.833, 0.167, 0.5], 32)",inf,inf,[0.01307145],[4.1404637],nan,nan,False,True,nan
246,"(246, [0.167, 0.167, 0.833, 0.833, 0.5], 32)",24500.275390625,0.5859056711425394,[0.02574703],[9.22304847],nan,nan,True,False,nan
247,"(247, [0.167, 0.167, 0.833, 0.833, 0.5], 32)",24405.978515625,0.6079191498518441,[0.0054948],[1.51754187],[0.02257171],[3.71294619],True,False,False
248,"(248, [0.167, 0.167, 0.833, 0.833, 0.5], 32)",24459.4921875,0.599872125653014,[0.01432552],[4.5849262],[0.07850547],[13.08703354],True,False,False
249,"(249, [0.944, 0.833, 0.167, 0.167, 0.389], 32)",24460.7421875,0.643994226790122,[0.02809232],[7.91722756],nan,nan,True,False,nan
250,"(250, [0.944, 0.833, 0.167, 0.167, 0.389], 32)",inf,inf,[0.00564522],[1.92142841],nan,nan,False,True,nan
251,"(251, [0.944, 0.833, 0.167, 0.167, 0.389], 32)",24453.6171875,0.5795785697194971,[0.00313017],[0.90764966],[0.03958878],[6.83061418],True,False,False
252,"(252, [0.944, 0.833, 0.167, 0.167, 0.611], 32)",24415.2578125,0.6076277302135058,[0.00772853],[2.4095743],[0.01534119],[2.52476744],True,False,False
253,"(253, [0.944, 0.833, 0.167, 0.167, 0.611], 32)",inf,inf,[0.00677958],[1.87159537],nan,nan,False,True,nan
254,"(254, [0.944, 0.833, 0.167, 0.167, 0.611], 32)",24500.08203125,0.5854184023735773,[0.00254663],[0.62261656],[0.06541108],[11.17338951],True,False,False
255,"(255, [0.5, 0.167, 0.167, 0.167, 0.167], 32)",24469.90625,0.6423667092414136,[0.0216993],[6.53150564],nan,nan,True,False,nan
256,"(256, [0.5, 0.167, 0.167, 0.167, 0.167], 32)",inf,inf,[0.01247415],[3.53774306],nan,nan,False,True,nan
257,"(257, [0.5, 0.167, 0.167, 0.167, 0.167], 32)",inf,inf,[0.01514825],[4.81104247],nan,nan,False,True,nan
258,"(258, [0.5, 0.167, 0.167, 0.167, 0.833], 32)",inf,inf,[0.0169135],[4.79364589],nan,nan,False,True,nan
259,"(259, [0.5, 0.167, 0.167, 0.167, 0.833], 32)",inf,inf,[0.00423816],[1.46709436],nan,nan,False,True,nan
260,"(260, [0.5, 0.167, 0.167, 0.167, 0.833], 32)",24581.603515625,0.5682789521804545,[0.00324641],[1.09869411],[0.06614781],[11.6400244],True,False,False
261,"(261, [0.5, 0.167, 0.833, 0.167, 0.5], 32)",inf,inf,[4.10785672e-05],[0.01331149],nan,nan,False,True,nan
262,"(262, [0.5, 0.167, 0.833, 0.167, 0.5], 32)",24479.06640625,0.6054228907142652,[0.01838983],[5.97382459],nan,nan,True,False,nan
263,"(263, [0.5, 0.167, 0.833, 0.167, 0.5], 32)",24456.52734375,0.644294409016853,[0.0163768],[4.19069853],[0.0030928],[0.48002901],True,False,True
264,"(264, [0.5, 0.167, 0.833, 0.833, 0.5], 32)",24360.291015625,0.6664439024779683,[0.02960827],[8.11041708],nan,nan,True,False,nan
265,"(265, [0.5, 0.167, 0.833, 0.833, 0.5], 32)",inf,inf,[0.01453862],[4.60715856],nan,nan,False,True,nan
266,"(266, [0.5, 0.167, 0.833, 0.833, 0.5], 32)",24412.01953125,0.6276924006004296,[0.03720048],[12.24408515],nan,nan,True,False,nan
267,"(267, [0.833, 0.833, 0.722, 0.5, 0.5], 32)",24502.587890625,0.619784740161511,[0.03019426],[9.85665292],nan,nan,True,False,nan
268,"(268, [0.833, 0.833, 0.722, 0.5, 0.5], 32)",24486.9375,0.6366716974403988,[0.03245337],[8.89075748],nan,nan,True,False,nan
269,"(269, [0.833, 0.833, 0.722, 0.5, 0.5], 32)",24465.62890625,0.6063387135031457,[0.00432813],[1.28623834],[0.02544663],[4.19676868],True,False,False
270,"(270, [0.833, 0.833, 0.944, 0.5, 0.5], 32)",24391.55078125,0.5944800453681589,[0.00584824],[1.4539742],[0.04105378],[6.90583016],True,False,False
271,"(271, [0.833, 0.833, 0.944, 0.5, 0.5], 32)",inf,inf,[0.00022368],[0.06239472],nan,nan,False,True,nan
272,"(272, [0.833, 0.833, 0.944, 0.5, 0.5], 32)",inf,inf,[0.00313517],[0.97645305],nan,nan,False,True,nan
273,"(273, [0.167, 0.5, 0.167, 0.167, 0.5], 32)",24551.330078125,0.6663030469424864,[0.06534087],[29.42527562],nan,nan,True,False,nan
274,"(274, [0.167, 0.5, 0.167, 0.167, 0.5], 32)",inf,inf,[0.01253199],[3.97727114],nan,nan,False,True,nan
275,"(275, [0.167, 0.5, 0.167, 0.167, 0.5], 32)",24570.744140625,0.6131953752877993,[0.00646661],[2.0001997],[0.0298637],[4.87017671],True,False,False
276,"(276, [0.167, 0.5, 0.167, 0.833, 0.5], 32)",inf,inf,[0.01598348],[4.15857868],nan,nan,False,True,nan
277,"(277, [0.167, 0.5, 0.167, 0.833, 0.5], 32)",24440.10546875,0.5883296987075144,[0.02154142],[5.12631001],nan,nan,True,False,nan
278,"(278, [0.167, 0.5, 0.167, 0.833, 0.5], 32)",inf,inf,[0.01084704],[4.34097154],nan,nan,False,True,nan
279,"(279, [0.907, 0.833, 0.167, 0.167, 0.5], 32)",24446.689453125,0.5496006422146723,[0.02141304],[7.5696545],nan,nan,True,False,nan
280,"(280, [0.907, 0.833, 0.167, 0.167, 0.5], 32)",24443.046875,0.5938467338950093,[0.00180289],[0.49918281],[0.0478145],[8.05165606],True,False,False
281,"(281, [0.907, 0.833, 0.167, 0.167, 0.5], 32)",inf,inf,[0.01461987],[3.97185376],nan,nan,False,True,nan
282,"(282, [0.981, 0.833, 0.167, 0.167, 0.5], 32)",inf,inf,[0.00908584],[2.54094286],nan,nan,False,True,nan
283,"(283, [0.981, 0.833, 0.167, 0.167, 0.5], 32)",24514.7578125,0.5946879052159191,[0.01683221],[5.32973601],nan,nan,True,False,nan
284,"(284, [0.981, 0.833, 0.167, 0.167, 0.5], 32)",24446.0859375,0.6636912169097865,[0.00131344],[0.40466885],[0.03667565],[5.52601101],True,False,True
285,"(285, [0.833, 0.5, 0.833, 0.167, 0.167], 32)",inf,inf,[0.00832653],[2.39392384],nan,nan,False,True,nan
286,"(286, [0.833, 0.5, 0.833, 0.167, 0.167], 32)",inf,inf,[0.00315968],[0.91938939],nan,nan,False,True,nan
287,"(287, [0.833, 0.5, 0.833, 0.167, 0.167], 32)",24568.8125,0.5674448752697112,[0.02469854],[9.02106084],nan,nan,True,False,nan
288,"(288, [0.833, 0.5, 0.833, 0.167, 0.833], 32)",inf,inf,[0.00588752],[1.62118459],nan,nan,False,True,nan
289,"(289, [0.833, 0.5, 0.833, 0.167, 0.833], 32)",24384.25390625,0.5944394388609562,[0.00268809],[0.74937863],[0.10637572],[17.89513086],True,False,False
290,"(290, [0.833, 0.5, 0.833, 0.167, 0.833], 32)",inf,inf,[0.01424287],[3.90703786],nan,nan,False,True,nan
291,"(291, [0.833, 0.5, 0.5, 0.167, 0.5], 32)",24566.19921875,0.6110620144662307,[0.00325605],[1.11008597],[0.00612205],[1.00187061],True,False,False
292,"(292, [0.833, 0.5, 0.5, 0.167, 0.5], 32)",24457.7578125,0.6073366417209523,[0.00490507],[1.74090872],[0.01689589],[2.78196373],True,False,False
293,"(293, [0.833, 0.5, 0.5, 0.167, 0.5], 32)",inf,inf,[0.00796575],[2.21686132],nan,nan,False,True,nan
294,"(294, [0.833, 0.5, 0.5, 0.833, 0.5], 32)",24515.72265625,0.6041282757703251,[0.01994281],[6.43274926],nan,nan,True,False,nan
295,"(295, [0.833, 0.5, 0.5, 0.833, 0.5], 32)",inf,inf,[0.00076976],[0.22807756],nan,nan,False,True,nan
296,"(296, [0.833, 0.5, 0.5, 0.833, 0.5], 32)",24397.904296875,0.5873265193105307,[0.0263599],[6.58171219],nan,nan,True,False,nan
297,"(297, [0.5, 0.833, 0.833, 0.167, 0.5], 32)",inf,inf,[0.01470546],[4.36341103],nan,nan,False,True,nan
298,"(298, [0.5, 0.833, 0.833, 0.167, 0.5], 32)",inf,inf,[0.0075482],[2.33453472],nan,nan,False,True,nan
299,"(299, [0.5, 0.833, 0.833, 0.167, 0.5], 32)",inf,inf,[0.0030583],[0.84884173],nan,nan,False,True,nan
300,"(300, [0.5, 0.833, 0.833, 0.833, 0.5], 32)",24409.46484375,0.5696779734024717,[0.01274147],[3.86686491],[0.05955603],[10.45433238],True,False,False
301,"(301, [0.5, 0.833, 0.833, 0.833, 0.5], 32)",24484.044921875,0.6230649935845759,[0.01506163],[4.67422207],[0.01994465],[3.20105486],True,False,True
302,"(302, [0.5, 0.833, 0.833, 0.833, 0.5], 32)",24453.71484375,0.5943352066029775,[0.01513966],[4.44700978],[0.04829139],[8.12527798],True,False,False
303,"(303, [0.833, 0.833, 0.056, 0.167, 0.5], 32)",inf,inf,[0.01416774],[4.54251234],nan,nan,False,True,nan
304,"(304, [0.833, 0.833, 0.056, 0.167, 0.5], 32)",inf,inf,[0.01284958],[3.9758335],nan,nan,False,True,nan
305,"(305, [0.833, 0.833, 0.056, 0.167, 0.5], 32)",inf,inf,[0.00166664],[0.48109489],nan,nan,False,True,nan
306,"(306, [0.833, 0.833, 0.278, 0.167, 0.5], 32)",24370.15625,0.5425442724304607,[0.00830821],[2.25294079],[0.14455383],[26.64369347],True,False,False
307,"(307, [0.833, 0.833, 0.278, 0.167, 0.5], 32)",inf,inf,[0.0036358],[1.0410447],nan,nan,False,True,nan
308,"(308, [0.833, 0.833, 0.278, 0.167, 0.5], 32)",24487.4453125,0.6144230679017791,[0.02576988],[7.61609512],nan,nan,True,False,nan
309,"(309, [0.944, 0.833, 0.167, 0.167, 0.463], 32)",inf,inf,[0.01416154],[3.70680447],nan,nan,False,True,nan
310,"(310, [0.944, 0.833, 0.167, 0.167, 0.463], 32)",inf,inf,[0.00104151],[0.31649528],nan,nan,False,True,nan
311,"(311, [0.944, 0.833, 0.167, 0.167, 0.463], 32)",inf,inf,[0.01663843],[4.20008938],nan,nan,False,True,nan
312,"(312, [0.944, 0.833, 0.167, 0.167, 0.537], 32)",inf,inf,[0.00185018],[0.57603501],nan,nan,False,True,nan
313,"(313, [0.944, 0.833, 0.167, 0.167, 0.537], 32)",inf,inf,[0.00230515],[0.71297929],nan,nan,False,True,nan
314,"(314, [0.944, 0.833, 0.167, 0.167, 0.537], 32)",inf,inf,[0.00971398],[2.6970461],nan,nan,False,True,nan
315,"(315, [0.5, 0.167, 0.833, 0.833, 0.167], 32)",24492.31640625,0.7371939024309586,[0.02258955],[5.4448265],nan,nan,True,False,nan
316,"(316, [0.5, 0.167, 0.833, 0.833, 0.167], 32)",24398.72265625,0.5877102015152571,[0.03779764],[12.69683823],nan,nan,True,False,nan
317,"(317, [0.5, 0.167, 0.833, 0.833, 0.167], 32)",inf,inf,[0.00434292],[1.08400443],nan,nan,False,True,nan
318,"(318, [0.5, 0.167, 0.833, 0.833, 0.833], 32)",24429.6875,0.6380196935564364,[0.14312809],[29.47710522],nan,nan,True,False,nan
319,"(319, [0.5, 0.167, 0.833, 0.833, 0.833], 32)",inf,inf,[0.01228424],[3.27964612],nan,nan,False,True,nan
320,"(320, [0.5, 0.167, 0.833, 0.833, 0.833], 32)",inf,inf,[0.00970651],[2.70688984],nan,nan,False,True,nan
