exp. number,configurations,loss,Sihlouette,intermediate errors,intermediate errors percentage,final errors,final errors percentage,training addded,training cancelled,accurate continuations (refers only to conscious continuations)
39,"(39, [0.833, 0.167, 0.167, 0.5, 0.5], 32)",24476.146484375,0.6168337901654204,[0.00362408],[1.03205014],[0.00308329],[0.49985698],True,False,True
40,"(40, [0.833, 0.167, 0.167, 0.5, 0.5], 32)",24479.447265625,0.6094694718976114,[0.02371062],[6.8592211],nan,nan,True,False,nan
41,"(41, [0.833, 0.167, 0.167, 0.5, 0.5], 32)",24524.7734375,0.6697344757170186,[0.03593187],[9.95315106],nan,nan,True,False,nan
42,"(42, [0.833, 0.167, 0.833, 0.5, 0.5], 32)",inf,inf,[0.00761377],[2.00887141],nan,nan,False,True,nan
43,"(43, [0.833, 0.167, 0.833, 0.5, 0.5], 32)",24472.462890625,0.5603114832855317,[0.01090312],[3.14959102],[0.04819068],[8.600695],True,False,False
44,"(44, [0.833, 0.167, 0.833, 0.5, 0.5], 32)",24490.298828125,0.5780200368674115,[0.04718415],[17.182715],nan,nan,True,False,nan
45,"(45, [0.167, 0.167, 0.167, 0.5, 0.5], 32)",24372.876953125,0.5838395753886598,[0.00165279],[0.44313549],[0.01095531],[1.87642512],True,False,False
46,"(46, [0.167, 0.167, 0.167, 0.5, 0.5], 32)",24391.51171875,0.6112240432499207,[0.00760148],[2.20127748],[0.01056589],[1.72864394],True,False,True
47,"(47, [0.167, 0.167, 0.167, 0.5, 0.5], 32)",inf,inf,[0.01653952],[4.46809431],nan,nan,False,True,nan
48,"(48, [0.167, 0.167, 0.833, 0.5, 0.5], 32)",24376.5625,0.5546805331969755,[0.01555387],[4.42076058],[0.04159683],[7.49924084],True,False,False
49,"(49, [0.167, 0.167, 0.833, 0.5, 0.5], 32)",24364.556640625,0.6431845198679487,[0.00702509],[2.16240367],[0.03186205],[4.9537967],True,False,True
50,"(50, [0.167, 0.167, 0.833, 0.5, 0.5], 32)",24399.1328125,0.6234305681786158,[0.01492142],[4.25612725],[0.02358642],[3.78332701],True,False,True
51,"(51, [0.833, 0.167, 0.167, 0.167, 0.5], 32)",inf,inf,[0.00627271],[1.87040388],nan,nan,False,True,nan
52,"(52, [0.833, 0.167, 0.167, 0.167, 0.5], 32)",24396.359375,0.5929702494764809,[0.15737522],[32.62181796],nan,nan,True,False,nan
53,"(53, [0.833, 0.167, 0.167, 0.167, 0.5], 32)",24488.837890625,0.7028697177505734,[0.0066387],[2.1857061],[0.0601966],[8.5644036],True,False,True
54,"(54, [0.833, 0.167, 0.167, 0.833, 0.5], 32)",24423.37109375,0.6118216344729651,[0.04404149],[15.19597739],nan,nan,True,False,nan
55,"(55, [0.833, 0.167, 0.167, 0.833, 0.5], 32)",24453.0859375,0.6501480585576208,[0.06263127],[14.85582125],nan,nan,True,False,nan
56,"(56, [0.833, 0.167, 0.167, 0.833, 0.5], 32)",24434.087890625,0.5704557794632796,[0.00710559],[2.054293],[0.03953579],[6.93056195],True,False,False
57,"(57, [0.5, 0.5, 0.167, 0.5, 0.5], 32)",24466.439453125,0.600349280617063,[0.01456011],[4.43653612],[0.01322043],[2.2021229],True,False,True
58,"(58, [0.5, 0.5, 0.167, 0.5, 0.5], 32)",24485.37890625,0.5920190632391967,[0.03435968],[12.90302329],nan,nan,True,False,nan
59,"(59, [0.5, 0.5, 0.167, 0.5, 0.5], 32)",24418.25,0.5863084919454469,[0.00803562],[2.09424103],[0.0092118],[1.57115217],True,False,False
60,"(60, [0.5, 0.5, 0.833, 0.5, 0.5], 32)",24483.2109375,0.609019597869324,[0.0147363],[4.95004504],[0.08078599],[13.26492452],True,False,True
61,"(61, [0.5, 0.5, 0.833, 0.5, 0.5], 32)",24415.56640625,0.5483435042932099,[0.0410439],[10.40005594],nan,nan,True,False,nan
