sihlouette,configuration
0.5944800453681589,"[([0.8333333333333333, 0.8333333333333333, 0.9444444444444444, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.9444444444444444, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.9444444444444444, 0.5, 0.5], 32)]"
0.594914154012369,"[([0.16666666666666666, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.5, 0.5], 32)]"
0.5956728585315451,"[([0.5, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.5, 0.5], 32)]"
0.5956927245300084,"[([0.5, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
0.5957273975404279,"[([0.8333333333333333, 0.5, 0.5, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.8333333333333333, 0.5], 32)]"
0.5958339730819175,"[([0.5, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32)]"
0.5965230662935416,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.6111111111111112], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.6111111111111112], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.6111111111111112], 32)]"
0.5975318093192903,"[([0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32)]"
0.5978989822157992,"[([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
0.598705330246092,"[([0.8333333333333333, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.5, 0.5, 0.5], 32)]"
0.5991911472063849,"[([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
0.5992223777504994,"[([0.5, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32)]"
0.5994860170066674,"[([0.8333333333333333, 0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6001430800990523,"[([0.5, 0.5, 0.5, 0.5, 0.5], 32), ([0.5, 0.5, 0.5, 0.5, 0.5], 32), ([0.5, 0.5, 0.5, 0.5, 0.5], 32)]"
0.602330316864126,"[([0.8333333333333333, 0.7222222222222222, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.7222222222222222, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.7222222222222222, 0.8333333333333333, 0.5, 0.5], 32)]"
0.6029741118875165,"[([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
0.6049456248674929,"[([0.5, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32)]"
0.6054856199973452,"[([0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 0.5], 32)]"
0.6058314406486506,"[([0.5, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32)]"
0.6070985404145133,"[([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32)]"
0.6081823583076441,"[([0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6091993280935915,"[([0.8333333333333333, 0.5, 0.5, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.16666666666666666, 0.5], 32)]"
0.6104325978867495,"[([0.8333333333333333, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.5, 0.5], 32)]"
0.6108084908312885,"[([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
0.6115786581126389,"[([0.8333333333333333, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.5, 0.5], 32)]"
0.6117863982548095,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.38888888888888884], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.38888888888888884], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.38888888888888884], 32)]"
0.6120211344988928,"[([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.16666666666666666], 32)]"
0.6129625155166057,"[([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6134506834695341,"[([0.9444444444444444, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6137043614497039,"[([0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6142193483274694,"[([0.8333333333333333, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32)]"
0.6143949804104057,"[([0.8333333333333333, 0.9444444444444444, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.9444444444444444, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.9444444444444444, 0.8333333333333333, 0.5, 0.5], 32)]"
0.6147124334596294,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666], 32)]"
0.616411845825249,"[([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32)]"
0.6171114595530591,"[([0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32)]"
0.618230701455445,"[([0.7222222222222222, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.7222222222222222, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.7222222222222222, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.620564163992036,"[([0.9444444444444444, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32)]"
0.620673081506049,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32)]"
0.6209317170350185,"[([0.8333333333333333, 0.8333333333333333, 0.7222222222222222, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.7222222222222222, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.7222222222222222, 0.5, 0.5], 32)]"
0.6214040685939521,"[([0.8333333333333333, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.5, 0.5], 32)]"
0.6214305701313295,"[([0.7222222222222222, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.7222222222222222, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.7222222222222222, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32)]"
0.6223013391362722,"[([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32)]"
0.6236388074996021,"[([0.8333333333333333, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6248586498655591,"[([0.5, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
0.625843490398552,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333], 32)]"
0.6258635134451359,"[([0.5, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.5, 0.5], 32)]"
0.6258737716513886,"[([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32)]"
0.6276207535914835,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.16666666666666666], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.16666666666666666], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.16666666666666666], 32)]"
0.6279861885360679,"[([0.9444444444444444, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32)]"
0.6291895610628528,"[([0.9814814814814814, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9814814814814814, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9814814814814814, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6294374279639555,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.8333333333333333], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.8333333333333333], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.8333333333333333], 32)]"
0.6313244216728462,"[([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
0.6317938938615897,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32)]"
0.6320125792600169,"[([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32)]"
0.6330556670120717,"[([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.8333333333333333], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.8333333333333333], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.8333333333333333], 32)]"
0.6338520709370565,"[([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
0.6340497046053187,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32)]"
0.6368804306266269,"[([0.9444444444444444, 0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6371500476874341,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
0.6380196935564364,"[([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333], 32)]"
0.6381134210413817,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32)]"
