optimal path loss,optimal path sihlouette,optimal path configurations,direct iteration
24508.759765625,0.6001430800990523,"[([0.5, 0.5, 0.5, 0.5, 0.5], 32), ([0.5, 0.5, 0.5, 0.5, 0.5], 32), ([0.5, 0.5, 0.5, 0.5, 0.5], 32)]",0
24418.12109375,0.5941967660268563,"[([0.8333333333333333, 0.5, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.5, 0.5], 32)]",1
24449.953776041668,0.598705330246092,"[([0.8333333333333333, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.5, 0.5, 0.5], 32)]",3
24399.17578125,0.6381134210413817,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32)]",7
24421.088541666668,0.6638710648705272,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]",9
24464.70703125,0.6683302446827752,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]",11
